Threat Title,Category,Interaction,Unnamed: 3,Priority,Description,Handling_Decision,Justification
Data Flow Payment Webhook Is Potentially Interrupted,Denial Of Service,Payment Webhook,Payment Provider and API Backend,High,An external agent interrupts data flowing across a trust boundary in either direction.,Transfer + Mitigate,Financial risk should be transferred to PCI-compliant provider while minimizing exposure by avoiding storage of card data and validating transactions server-side.
Elevation Using Impersonation,Elevation Of Privilege,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,WAF / Reverse Proxy may be able to impersonate the context of Student in order to gain additional privilege.,Mitigate,Broken access control allows unauthorized data access or modification. Mitigated using strict RBAC/ABAC and server-side authorization checks.
Elevation Using Impersonation,Elevation Of Privilege,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,WAF / Reverse Proxy may be able to impersonate the context of Faculty in order to gain additional privilege.,Mitigate,Broken access control allows unauthorized data access or modification. Mitigated using strict RBAC/ABAC and server-side authorization checks.
Elevation Using Impersonation,Elevation Of Privilege,Admin Login (HTTPS),Admin and Admin Portal,High,Admin Portal may be able to impersonate the context of Admin in order to gain additional privilege.,Mitigate,"Admin compromise can result in complete system control. Mitigated using MFA, role-based access control, IP restrictions, and logging."
Elevation Using Impersonation,Elevation Of Privilege,Internet Traffic (HTTPS),External Attacker and WAF/Reverse Proxy,High,WAF / Reverse Proxy may be able to impersonate the context of External Attacker in order to gain additional privilege.,Mitigate,Broken access control allows unauthorized data access or modification. Mitigated using strict RBAC/ABAC and server-side authorization checks.
Elevation Using Impersonation,Elevation Of Privilege,Forwarded Request,WAF/Reverse Proxy and Frontend,High,Frontend (Student/Faculty Portal) may be able to impersonate the context of WAF / Reverse Proxy in order to gain additional privilege.,Mitigate,Broken access control allows unauthorized data access or modification. Mitigated using strict RBAC/ABAC and server-side authorization checks.
Elevation Using Impersonation,Elevation Of Privilege,Admin API Call,Admin Portal and API Backend,High,API Backend may be able to impersonate the context of Admin Portal in order to gain additional privilege.,Mitigate,"Admin compromise can result in complete system control. Mitigated using MFA, role-based access control, IP restrictions, and logging."
Elevation Using Impersonation,Elevation Of Privilege,API Request,Frontend and API Backend,High,API Backend may be able to impersonate the context of Frontend (Student/Faculty Portal) in order to gain additional privilege.,Mitigate,Broken access control allows unauthorized data access or modification. Mitigated using strict RBAC/ABAC and server-side authorization checks.
Weakness in SSO Authorization,Elevation Of Privilege,OAuth Token Request,Identity Provider and API Backend,High,Common SSO implementations such as OAUTH2 and OAUTH Wrap are vulnerable to MitM attacks.,Transfer + Mitigate,Authentication provider risks are partially outside direct control. Transferred via vendor SLAs while limiting scope and monitoring token usage.
Elevation Using Impersonation,Elevation Of Privilege,OAuth Token Response,Identity Provider and API Backend,High,API Backend may be able to impersonate the context of Identity Provider in order to gain additional privilege.,Transfer + Mitigate,Authentication provider risks are partially outside direct control. Transferred via vendor SLAs while limiting scope and monitoring token usage.
Elevation Using Impersonation,Elevation Of Privilege,Payment Webhook,Payment Provider and API Backend,High,API Backend may be able to impersonate the context of Payment Provider in order to gain additional privilege.,Transfer + Mitigate,Financial risk should be transferred to PCI-compliant provider while minimizing exposure by avoiding storage of card data and validating transactions server-side.
Elevation Using Impersonation,Elevation Of Privilege,File Upload,Frontend and Upload Scan Service,High,Upload Scan Service may be able to impersonate the context of Frontend (Student/Faculty Portal) in order to gain additional privilege.,Mitigate,Broken access control allows unauthorized data access or modification. Mitigated using strict RBAC/ABAC and server-side authorization checks.
Elevation Using Impersonation,Elevation Of Privilege,Audit Entry,API Backend and Audit Service,High,Audit Service may be able to impersonate the context of API Backend in order to gain additional privilege.,Mitigate,Broken access control allows unauthorized data access or modification. Mitigated using strict RBAC/ABAC and server-side authorization checks.
WAF / Reverse Proxy May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,Student may be able to remotely execute code for WAF / Reverse Proxy.,Mitigate,Broken access control allows unauthorized data access or modification. Mitigated using strict RBAC/ABAC and server-side authorization checks.
Elevation by Changing the Execution Flow in WAF / Reverse Proxy,Elevation Of Privilege,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,An attacker may pass data into WAF / Reverse Proxy in order to change the flow of program execution within WAF / Reverse Proxy to the attacker's choosing.,Mitigate,Broken access control allows unauthorized data access or modification. Mitigated using strict RBAC/ABAC and server-side authorization checks.
Cross Site Request Forgery,Elevation Of Privilege,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting,   The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",Mitigate,"Allows unauthorized actions through authenticated sessions. Mitigated using CSRF tokens, SameSite cookies, and origin validation."
WAF / Reverse Proxy May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,Faculty may be able to remotely execute code for WAF / Reverse Proxy.,Mitigate,Broken access control allows unauthorized data access or modification. Mitigated using strict RBAC/ABAC and server-side authorization checks.
Elevation by Changing the Execution Flow in WAF / Reverse Proxy,Elevation Of Privilege,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,An attacker may pass data into WAF / Reverse Proxy in order to change the flow of program execution within WAF / Reverse Proxy to the attacker's choosing.,Mitigate,Broken access control allows unauthorized data access or modification. Mitigated using strict RBAC/ABAC and server-side authorization checks.
Cross Site Request Forgery,Elevation Of Privilege,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting,   The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",Mitigate,"Allows unauthorized actions through authenticated sessions. Mitigated using CSRF tokens, SameSite cookies, and origin validation."
Admin Portal May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Admin Login (HTTPS),Admin and Admin Portal,High,Admin may be able to remotely execute code for Admin Portal.,Mitigate,"Admin compromise can result in complete system control. Mitigated using MFA, role-based access control, IP restrictions, and logging."
Elevation by Changing the Execution Flow in Admin Portal,Elevation Of Privilege,Admin Login (HTTPS),Admin and Admin Portal,High,An attacker may pass data into Admin Portal in order to change the flow of program execution within Admin Portal to the attacker's choosing.,Mitigate,"Admin compromise can result in complete system control. Mitigated using MFA, role-based access control, IP restrictions, and logging."
Cross Site Request Forgery,Elevation Of Privilege,Admin Login (HTTPS),Admin and Admin Portal,High,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting,   The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",Mitigate,"Allows unauthorized actions through authenticated sessions. Mitigated using CSRF tokens, SameSite cookies, and origin validation."
WAF / Reverse Proxy May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Internet Traffic (HTTPS),External Attacker and WAF/Reverse Proxy,High,External Attacker may be able to remotely execute code for WAF / Reverse Proxy.,Mitigate,Broken access control allows unauthorized data access or modification. Mitigated using strict RBAC/ABAC and server-side authorization checks.
Elevation by Changing the Execution Flow in WAF / Reverse Proxy,Elevation Of Privilege,Internet Traffic (HTTPS),External Attacker and WAF/Reverse Proxy,High,An attacker may pass data into WAF / Reverse Proxy in order to change the flow of program execution within WAF / Reverse Proxy to the attacker's choosing.,Mitigate,Broken access control allows unauthorized data access or modification. Mitigated using strict RBAC/ABAC and server-side authorization checks.
Cross Site Request Forgery,Elevation Of Privilege,Internet Traffic (HTTPS),External Attacker and WAF/Reverse Proxy,High,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting,   The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",Mitigate,"Allows unauthorized actions through authenticated sessions. Mitigated using CSRF tokens, SameSite cookies, and origin validation."
API Backend May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,OAuth Token Response,Identity Provider and API Backend,High,Identity Provider may be able to remotely execute code for API Backend.,Transfer + Mitigate,Authentication provider risks are partially outside direct control. Transferred via vendor SLAs while limiting scope and monitoring token usage.
Elevation by Changing the Execution Flow in API Backend,Elevation Of Privilege,OAuth Token Response,Identity Provider and API Backend,High,An attacker may pass data into API Backend in order to change the flow of program execution within API Backend to the attacker's choosing.,Transfer + Mitigate,Authentication provider risks are partially outside direct control. Transferred via vendor SLAs while limiting scope and monitoring token usage.
API Backend May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Payment Webhook,Payment Provider and API Backend,High,Payment Provider may be able to remotely execute code for API Backend.,Transfer + Mitigate,Financial risk should be transferred to PCI-compliant provider while minimizing exposure by avoiding storage of card data and validating transactions server-side.
Elevation by Changing the Execution Flow in API Backend,Elevation Of Privilege,Payment Webhook,Payment Provider and API Backend,High,An attacker may pass data into API Backend in order to change the flow of program execution within API Backend to the attacker's choosing.,Transfer + Mitigate,Financial risk should be transferred to PCI-compliant provider while minimizing exposure by avoiding storage of card data and validating transactions server-side.
